id_paczkomat,miejscowosc,klasa_miejscowosci
BAR01M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR02M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR02N,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR03M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR03N,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR04M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR04N,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR05M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR06M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAR07M,BARTOSZYCE,miasto 20 - 50 tys. mieszkańców
BAS01M,BARANÓW SANDOMIERSKI,miasto do 20 tys. mieszkańców
BAT01N,BATOWICE,wieś
BAU01M,BARUCHOWO,wieś
BAV01M,BAKÓW,wieś
BAW01M,BYSLAW,wieś
BAW01N,BYSLAW,wieś
BAW02M,BYSLAW,wieś
BAX01M,BRODLA,wieś
BAY01G,BACZYN,wieś
BAZ01M,BAZANOWICE,wieś
BBA01G,BOBOWA,miasto do 20 tys. mieszkańców
BBA01M,BOBOWA,miasto do 20 tys. mieszkańców
BBA02M,BOBOWA,miasto do 20 tys. mieszkańców
BBC01I,BIBICE,wieś
BBC01M,BABICE,wieś
BBC02I,KRAKÓW,miasto powyżej 500 tys. mieszkańców
BBC02M,BIBICE,wieś
BBC03M,BIBICE,wieś
BBC04M,BIBICE,wieś
BBC05M,BIBICE,wieś
BBC933,BABICE,wieś
BBD01M,BEDKÓW,wieś
BBE01M,BOBREK,wieś
BBE02M,BOBREK,wieś
BBE03M,BOBREK,wieś
BBG01G,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBG01M,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBG01N,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBG02M,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBG02N,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBG03M,BIALOBRZEGI,miasto do 20 tys. mieszkańców
BBH01M,BRZEZNICA BYCHAWSKA,wieś
BBI005,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01D,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01G,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01H,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01HO,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI01ZIH,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02G,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02HO,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI02ZIH,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI039,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI03A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI03M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI04A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI04M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI05A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI05M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI05N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI06A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI06M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI06N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI07A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI07M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI07N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI08A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI08M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI08N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI09A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI09M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI09N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI10A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI10M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI10N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI11A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI11M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI11N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI12A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI12M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI12N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI13A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI13M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI13N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI14A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI14M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI14N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI15A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI15M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI15N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI16A,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI16M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI16N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI17M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI17N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI18M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI18N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI19M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI19N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI20M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI20N,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI21M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI22M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI234,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI23M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI24M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI25M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI26M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI27M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI28M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI29M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI30M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI312,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI31M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI32M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI33M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI34M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI35M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI36M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI37M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI38M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI39M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI40M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI41M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI42M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI43M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI44M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI450,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI45M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI46M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI47M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI48M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI49M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI50M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI51M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI52M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI53M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI54M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI55M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI56M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI57M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI58M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI59M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI60M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI61M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI62M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI63M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI64M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI65M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI66M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI67M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI68M,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI841,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBI843,BIELSKO-BIALA,miasto 100 - 200 tys. mieszkańców
BBK01A,BABIAK,wieś
BBK01M,BABIAK,wieś
BBL01M,BIALOBIEL,wieś
BBN01I,BABICE NOWE,wieś
BBN02I,BABICE NOWE,wieś
BBO01A,BIALY BÓR,miasto do 20 tys. mieszkańców
BBO01M,BIALY BÓR,miasto do 20 tys. mieszkańców
BBQ01M,BOBOWICKO,wieś
BBR01A,BOBROWNIKI,wieś
BBR01G,BABORÓW,miasto do 20 tys. mieszkańców
BBR01M,BOBROWNIKI,wieś
BBR979,BOBROWNIKI,wieś
BBS01G,BABOSZEWO,wieś
BBS01M,BABOSZEWO,wieś
BBS02M,BABOSZEWO,wieś
BBT01M,BIALE BLOTA,wieś
BBT01N,BIALE BLOTA,wieś
BBT02M,BIALE BLOTA,wieś
BBT03M,BIALE BLOTA,wieś
BBT891,BIALE BLOTA,wieś
BBV01C,BABORÓW,miasto do 20 tys. mieszkańców
BBV01M,BABORÓW,miasto do 20 tys. mieszkańców
BBW01C,BOBOWO,wieś
BBW01M,BOBOWO,wieś
BBX01M,BABICA,wieś
BBY01M,BABY,wieś
BCA01G,BYCZYNA,miasto do 20 tys. mieszkańców
BCA01M,BYCZYNA,miasto do 20 tys. mieszkańców
BCA02M,BYCZYNA,miasto do 20 tys. mieszkańców
BCC01M,BRZACZOWICE,wieś
BCD01M,BICZYCE DOLNE,wieś
BCE01M,BISKUPICE,wieś
BCH01F,BANIOCHA,wieś
BCH01M,BANIOCHA,wieś
BCH02M,BANIOCHA,wieś
BCI01G,BARCIANY,wieś
BCI01M,BARCIANY,wieś
BCJ01M,BRACIEJÓWKA,wieś
BCK01M,BACKOWICE,wieś
BCN01M,BARCIN,miasto do 20 tys. mieszkańców
BCN02M,BARCIN,miasto do 20 tys. mieszkańców
BCN02N,BARCIN,miasto do 20 tys. mieszkańców
BCN03M,BARCIN,miasto do 20 tys. mieszkańców
BCO01A,BODACZÓW,wieś
BCO01M,BECZKÓW,wieś
BCQ01M,BOCKI,wieś
BCR01M,BINCZAROWA,wieś
BCV01M,BODZANOWICE,wieś
BCV02M,BODZANOWICE,wieś
BCW01M,BOLECHOWICE,wieś
BCW02M,BOLECHOWICE,wieś
BCX01M,BORKOWICE,wieś
BCY01M,BACZYNA,wieś
BCY02M,BACZYNA,wieś
BCZ01M,BIALACZÓW,wieś
BDA01G,BODZANÓW,wieś
BDA01M,BODZANÓW,wieś
BDC01M,BODZECHÓW,wieś
BDD01M,BARWALD DOLNY,wieś
BDE01C,BARCICE DOLNE,wieś
BDE01M,BARCICE DOLNE,wieś
BDE02M,BARCICE,wieś
BDG01M,BIALA DRUGA,wieś
BDI01D,BEDZINO,wieś
BDI01M,BEDZINO,wieś
BDK01G,BIADKI,wieś
BDK01M,BIADKI,wieś
BDL01N,BLIZANÓW DRUGI,wieś
BDN01F,BODZENTYN,miasto do 20 tys. mieszkańców
BDN01M,BODZENTYN,miasto do 20 tys. mieszkańców
BDN02M,BODZENTYN,miasto do 20 tys. mieszkańców
BDO01A,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO01M,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO01ML,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO01N,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO02M,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO02N,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO03M,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO04M,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDO05M,BRZEG DOLNY,miasto do 20 tys. mieszkańców
BDQ01M,BRUDZÓW,wieś
BDR01W,BUDRY,wieś
BDS01M,BEDON-WIES,wieś
BDU01C,BIALY DUNAJEC,wieś
BDU01M,BIALY DUNAJEC,wieś
BDV01M,BODZEWO,wieś
BDW01M,BRUDZEW,wieś
BDW01N,BRUDZEW,wieś
BDX01M,BORZECIN DUZY,wieś
BDX02M,BORZECIN DUZY,wieś
BDY01E,BRUDZEN DUZY,wieś
BDY01M,BRUDZEN DUZY,wieś
BDZ01G,BIDZINY,wieś
BDZ01M,BUDZISZEWICE,wieś
BDZ02M,BUDZISZEWICE,wieś
BDZ168,BORZECIN DUZY,wieś
BEA01M,BIELCZA,wieś
BEA02M,BIELCZA,wieś
BEB01M,BEBLO,wieś
BEC01C,BOLESLAWIEC,wieś
BEC01M,BOLESLAWIEC,wieś
BEC02M,BOLESLAWIEC,wieś
BED01A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01C,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01F,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01G,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01HP,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED01N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED02A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED02M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED02N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED03A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED03M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED03N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED04M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED04N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED05A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED05M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED05N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED06A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED06M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED06N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED07A,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED07M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED07N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED08M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED08N,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED09M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED10M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED11M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED12M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BED13M,BEDZIN,miasto 50 - 100 tys. mieszkańców
BEE01M,BIELICE,wieś
BEG01M,BRZEG GLOGOWSKI,wieś
BEI01M,BRASZEWICE,wieś
BEJ01M,BEJSCE,wieś
BEK01N,BELK,wieś
BEL01C,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL01G,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL01M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL01N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL02A,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL02G,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL02M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL02N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL03A,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL03M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL03N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL04M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL04N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL05A,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL05M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL05N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL06A,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL06M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL06N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL07A,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL07M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL07N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL085,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL08M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL08N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL09M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL09N,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL10M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL11M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL12M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
BEL13M,BELCHATÓW,miasto 50 - 100 tys. mieszkańców
