id_klient,kategoria,zgoda_marketingowa
OBJL02168978007421,pets,true
CLZO73976208271699,pets,true
XCZR32804133709507,pets,true
VTYU73948271437647,pets,true
RSQH80007632885767,fashion,true
YYEK40899974835667,pets,true
RPKW92484296962217,pets,true
CJWK15488206908382,pets,true
NIOD02418042327880,fashion,true
AJSF85863172842230,pets,true
ZSSJ32013897680115,fashion,true
PPKJ99042530748742,pets,true
WYXK59387489831616,fashion,true
KVGU44176224504016,pets,true
IKBS55003320154737,pets,true
DSPA57274728447819,office,true
HXGK31534445059849,pets,true
EMRN16971337544817,office,true
PNMN10280339679584,fashion,true
HOUI41878299238516,pets,true
LWXG36967619650846,office,true
TQHP95141708715790,fashion,true
MXHT58200690486657,pets,true
WIBS99836342803065,fashion,true
ITNT21543266007238,office,true
ZQBC43148291810203,fashion,true
FMMK62925475489717,office,true
INFI97340124673355,fashion,true
BSZF45639008843723,pets,true
DOLD98999981968166,office,true
SRQL79962036889540,pets,true
PTBL84674732510854,office,true
MLLG70721167117274,office,true
LENP14941799053449,fashion,true
JHFL49085262412992,pets,true
NDXS74115565898430,fashion,true
CJVK55549297650539,pets,true
SJJD86385641153663,pets,true
YSIW24592828771246,pets,true
ZAZS68466107665574,pets,true
UAZE53153968844684,pets,true
QRGB26413768929265,pets,true
SSQS06874522539284,pets,true
XQRD63606221488987,office,true
WELT43928512874956,pets,true
IFTH81726266526680,pets,true
RLZE73272621826827,office,true
LNCN26145031579184,pets,true
ULFO61869094157314,pets,true
TYLS67771450445731,pets,true
ZBNV23866403042777,pets,true
QFAO64131548354938,pets,true
XWRG44568071968836,pets,true
LCBQ05548410685403,pets,true
MIAE86318762954796,pets,true
PXYG22991761815229,office,true
FYWE52558878008727,office,true
EPYY38372482390569,pets,true
XDCA30049697542488,pets,true
WYOQ19578100339638,fashion,true
XGGF48958960475131,fashion,true
KAGC25513981583852,fashion,true
IULG93429994353073,office,true
KSMW76583201672445,pets,true
SEJA22590887056288,pets,true
THFK05207265006579,pets,true
WIOZ56848391453339,pets,true
RQJC97978918726037,fashion,true
LGAT58374739962910,fashion,true
XXPB72066046155790,office,true
TWRS55174880369138,fashion,true
XKZT64091478587505,office,true
XUXC84025726364499,pets,true
CYRO62167052815407,pets,true
LVPM92820715671966,pets,true
VBHL01340021687493,office,true
CBUW46329257635888,pets,true
UCTL69574105517930,office,true
NTYJ23513431810993,pets,true
AWTM78833907308424,pets,true
XOHD37616566072909,pets,true
BKKI09999315253485,pets,true
UQMF77693266447952,fashion,true
ZVRJ34258551804445,fashion,true
JZBO39123081862550,pets,true
QPKH08351934161295,pets,true
HFNR33755039585808,pets,true
EFKD34703214344503,office,true
DMZO14392016245080,pets,true
HFAO74846768670840,pets,true
IXVU80634179174916,pets,true
ZDUB75556579117045,pets,true
DPZK65692324943313,fashion,true
RLTH27874702283496,pets,true
CIAE66875735618067,pets,true
MJQC16590049719550,office,true
AMQA84486921306679,office,true
WHCD74363724576952,pets,true
IPCR32165869263863,office,true
CCJE70515571988648,pets,true
LSOR74633819758667,pets,true
ZJSL80790570501243,pets,true
KAXD64884030444146,pets,true
XNEX03685503272343,pets,true
EUIR82988134752250,office,true
XPWD37631240954185,office,true
XDNU01808857859588,fashion,true
THWF85803865887252,pets,true
DQNU58802951413052,pets,true
NCYV61724711333071,office,true
VDKS37492605233917,office,true
QVDZ19123325063199,pets,true
SUQJ21430257750148,fashion,true
LLSN88903305222772,pets,true
ADWO21650348904727,pets,true
ACGK41134539941639,office,true
RRRM73373520743343,fashion,true
YGWQ86926492718615,fashion,true
WPME31766450357088,fashion,true
MKBX41368226799321,pets,true
VWMT74203265070047,pets,true
HUDP71638627084864,pets,true
KCLE66369435012004,office,true
BYUV68690330769484,fashion,true
QHQC12488581245310,fashion,true
HCTY12377328172771,pets,true
NGKT33505069981716,office,true
FEEB77937532174239,pets,true
YBWJ24997943481257,pets,true
BZLG42449167857096,office,true
UOOB21271680699455,pets,true
LLSZ13773751063076,pets,true
BZOP85842320496114,pets,true
FEDI37683478806105,pets,true
YNAA56455584071720,pets,true
PTYJ35851584708012,pets,true
REML06795397874159,office,true
FETA23616672690956,pets,true
SKJS42426465652623,pets,true
ZIHC81566708217616,office,true
MTZD62139389554039,office,true
WRWE80973483883162,office,true
KJYI32185528786921,pets,true
HEOG75920998811327,office,true
HLBQ10544680092078,fashion,true
KWFU94893861022738,office,true
NTIP58275441547022,pets,true
VIYZ73272707206412,office,true
GHXK47956712578229,pets,true
MHNE55184356304688,pets,true
AQJJ89639724863735,pets,true
YIYW57720378477339,pets,true
TICS57773925132558,pets,true
FVPA85059549672545,pets,true
AGJN82489835689792,pets,true
DNIO56011932073707,pets,true
HYFM57815086881756,pets,true
GTJO26469575701638,pets,true
WLNZ15654267772962,pets,true
MUBA57631100831202,fashion,true
UAPF31153126196101,fashion,true
ZJFY06557077321014,pets,true
KNSN48592581659141,office,true
DKCS54475109713667,pets,true
TUEN81445057909021,pets,true
CFSU97695875689367,pets,true
SZYF07709703170879,office,true
MLIX21498182798371,pets,true
DNHX57396025939576,fashion,true
RVCS29583684944699,fashion,true
VXWS85069238162026,office,true
QLVD34456642107250,pets,true
UMLS65912196335364,pets,true
TTJB34051587767936,pets,true
BHLU32409275471680,pets,true
HWER58999537724996,fashion,true
EUEN65672972623017,fashion,true
XRRF26566783244750,pets,true
HAXR21839974714428,fashion,true
THDM27745900488709,office,true
EPYD19277274654064,fashion,true
DPOY72552558047327,office,true
JFWR02722143725352,fashion,true
XRIE69181121434148,fashion,true
KBBJ95189572256428,pets,true
KEHN68599744129544,pets,true
SRQP74957985505831,fashion,true
EFVF79675192698986,pets,true
VDAX54590281444401,pets,true
FWKI75354209321039,fashion,true
KOKW39071049565813,pets,true
YJPW50198713250582,pets,true
LSNZ53446418658416,pets,true
COMP74671557529216,office,true
KSFG85309544011870,fashion,true
TNGJ74384537984551,office,true
QXWP65090199969368,pets,true
TRDR70817942448259,office,true
LMFR65386622584366,pets,true
WYUQ00718639229927,pets,true
VRYC87625020145662,pets,true
XPOL65066481966886,office,true
BBKM63791627054839,fashion,true
NNKL13804673890451,fashion,true
JLIV23287330083465,pets,true
HQOY91135169877973,fashion,true
UNPB17414945188555,fashion,true
MOBY70634720598975,pets,true
YVNM65396214505197,office,true
RKDH49477777770871,office,true
MHXL78306145498174,fashion,true
ETSN04489135691734,fashion,true
UQFE31381264102726,fashion,true
HAXG14782489364316,pets,true
DJJP79845374244183,office,true
ZKPO46594666176548,office,true
TOQJ15829090833268,office,true
GSPR63774521225027,fashion,true
UXCN83290980904218,pets,true
SMMH36978995895426,pets,true
OXQJ18942551703026,fashion,true
GSLT02899384173484,pets,true
BYGJ48931580570519,pets,true
DATB71670722292430,fashion,true
PQBQ55692678525411,fashion,true
ZXUL99506995948355,pets,true
YSFL47205548264136,pets,true
MBLT68613076807345,fashion,true
DTEH66894977794931,office,true
WMKJ36574375637730,office,true
QNPH97861533872593,pets,true
HECE50939377366016,pets,true
PIUD14232233707568,pets,true
DNUY07589931943275,pets,true
VWPY93241797058707,office,true
GXAG62022968129180,office,true
QQOY40852850782480,pets,true
CZAE60867852704242,office,true
EZAI36069167254486,pets,true
XFAW62231618610237,pets,true
RRRB80875596553080,fashion,true
QRUA08525115969134,fashion,true
XVVD17149771369314,pets,true
OQNK12701693838482,pets,true
PCHA92561153931828,pets,true
KWKE09639192796741,pets,true
ZSNO88146215759765,office,true
UXMW13745729483375,pets,true
TTZZ74303283214069,office,true
AGEN74604488516990,pets,true
CUUU03957501977662,pets,true
KZYF65477747711407,fashion,true
NYDA72339276013938,fashion,true
WKXQ04703182276924,pets,true
ZSEL21811410417118,pets,true
BLPS32415587321714,pets,true
RQUH11875842781904,pets,true
QMOF07339611546257,pets,true
QWCP75587481723488,pets,true
CRNP09656106069929,office,true
FFXJ11974990197545,pets,true
RHKK79930413212941,pets,true
OBVU36491749429203,pets,true
ULDQ50791883431764,fashion,true
XNTZ01540696134821,pets,true
ZMSO68808733903929,pets,true
OWGB10360739151653,pets,true
HNLZ27772388390925,office,true
ODYM55610075207662,pets,true
VTXI02340002710277,fashion,true
YMCW08582573401921,pets,true
KLMG34575585535858,fashion,true
TFZF12099901562993,pets,true
UDNY09970371819967,pets,true
ILYX20529032578231,fashion,true
OYUS75786796838720,office,true
YDZH92187361108644,pets,true
SJNT72618239937273,pets,true
PYIN93129173170147,fashion,true
MYJJ07559721878033,pets,true
WXGX73289467511256,fashion,true
WJQH66630105869784,office,true
GLBA39152054304268,fashion,true
LUXC50561453815668,pets,true
HEMX53725775946672,fashion,true
WYCI78055008140596,office,true
KYNO12137818914121,fashion,true
HFQE11191600559847,pets,true
IBPZ38085570121103,pets,true
JYOI01565399266441,office,true
WDXS91923710271315,pets,true
LWWF12295839593886,office,true
BZIA69652659741165,fashion,true
CSBR63817626245073,pets,true
GKLL25736320441593,office,true
DPLT46352319722386,office,true
VGMZ46873368683597,office,true
ESML49775998176839,pets,true
ZSJT85653093804666,pets,true
GYJB56418042996428,pets,true
IANJ75236710775597,office,true
YIHY95929095801358,pets,true
GOUE29566930047212,fashion,true
RMLY13303185795877,pets,true
XVGZ62801096216144,fashion,true
VHSO12373253515365,pets,true
DFKE18629379332721,office,true
NBYW68286621090734,fashion,true
SXIL38844630608707,pets,true
XFZS34379698297697,pets,true
ZRTK53910193739769,pets,true
DMQX75042467665028,pets,true
PZAC90070921581256,pets,true
CODT09479676109761,pets,true
SBIS02227233515294,pets,true
CJHG10169554093152,fashion,true
CJGK62247143457522,office,true
MXGM30066266694339,office,true
CUAE52926430208192,fashion,true
TPRL50607407874242,fashion,true
IFQO22894495588135,pets,true
VTJF45418639330112,pets,true
PSPD31868424543596,pets,true
GNBQ13598546448738,pets,true
IAZP05219450444708,pets,true
LQWQ93140767373522,office,true
FVDK78704691343784,pets,true
KYDF22460587759134,pets,true
SEGU62655709365451,pets,true
NKWH22371100472226,pets,true
PBCT55866986761085,fashion,true
KUAB09228445768891,pets,true
PRYJ48384340525200,fashion,true
RCYP10616273105165,fashion,true
GDSX92000617514179,pets,true
OYEA48926540006151,office,true
MHNN30874308395887,office,true
MDLD81277316745441,pets,true
PDQV04101543806804,fashion,true
LYRO19573418241194,office,true
JYOO31420403102793,pets,true
VTRW40066512747504,office,true
BCFP14932056190344,fashion,true
RPUR85056179697757,pets,true
CQDP20278386708974,pets,true
EOCW08492002341311,pets,true
KEOF13936597648956,fashion,true
UYPO89277441510730,pets,true
JECX94591462991075,office,true
LBRH32198186170506,pets,true
MQTX64565001742791,pets,true
IMBS54539829018173,pets,true
NSWQ87052926396625,office,true
YZXV85585898812472,pets,true
OIUU87920783069361,pets,true
VBKE28486555028418,pets,true
VMEX17994648461279,pets,true
UXRQ81156946475091,fashion,true
EZIR80693289181809,pets,true
NADY54262572442189,pets,true
YCVB13822922834873,fashion,true
YHMZ55129614601302,pets,true
KZLU28671752967064,fashion,true
CBXP81157680279876,pets,true
QHID37939878288047,office,true
UEOS65851169803421,pets,true
WUEM41244635359481,fashion,true
YQBY02155069267796,pets,true
UWFL03380322011423,fashion,true
EYSN41156947262514,fashion,true
YBIU76964194938305,pets,true
OHKQ46207034270154,pets,true
MLNW30900427733969,fashion,true
FGDE43053411397585,fashion,true
BDSV78367699505498,office,true
WYVR04834174329178,fashion,true
QFSB19001962328562,pets,true
RQET73493310309301,office,true
KENF12298522275422,fashion,true
PPVZ32219543754314,pets,true
ETSS89781047956425,pets,true
ILNX90861285440120,pets,true
RJUM75987005460447,office,true
WWXO79898889820196,pets,true
PNJK78466642970838,fashion,true
FZNT19046533511866,fashion,true
TQQI61526601956335,pets,true
FBPC41389461270204,pets,true
NUTL11809690222837,pets,true
UTTG77851138583060,office,true
AKOB55288930319537,pets,true
AWUH46206096125844,office,true
ZUCK67603264425073,fashion,true
TBSH27797185529707,office,true
ZSMW84977792819500,pets,true
EMZW83650365081328,office,true
ESKL45450406452138,office,true
OBLP07320789021916,pets,true
XUQG83089400996368,pets,true
UARB75423213270674,pets,true
HQFC85644415717367,pets,true
LCWD98013081311147,pets,true
XJMW74451839309940,pets,true
CROH14997997219165,pets,true
JNRG33105866207799,pets,true
LJSN82470887879828,pets,true
AFNG87631707058689,pets,true
FHDA60286373437125,fashion,true
THRR24831978588779,pets,true
CSBN20936131697973,office,true
VXHG01034109264044,pets,true
IVEY28927148236293,fashion,true
JKGS73982286789155,office,true
RIAH71833096791858,fashion,true
FXWR92895372324777,fashion,true
LSPP09269018165039,pets,true
PXEM69036306367047,pets,true
FLGB83514714858278,pets,true
HGUP66011943709250,fashion,true
YDSX33524813434407,office,true
YRJZ63710619641535,pets,true
CSSO05807891880573,pets,true
ZXLU32849485841151,pets,true
GPWP96851812959396,pets,true
ACRB30821076659482,pets,true
DXYS80478159254782,pets,true
TELT83436718310200,pets,true
GHPU34106761437992,fashion,true
CSTR32082409111437,pets,true
VMHT16667570478533,fashion,true
EBFA84600825821621,pets,true
BVPM59290936220091,fashion,true
MTAT90203389209695,pets,true
BYGD72509367872983,fashion,true
MEAD04200618721793,pets,true
RVTO90322407840069,office,true
VRQV53504739918702,pets,true
PPSV29207294706646,office,true
FKEI26099292135658,pets,true
YTIK39241455593726,pets,true
OAKY94901553061765,pets,true
VFKF14608848442555,pets,true
PDJW57486022651720,office,true
IYHM26344838162665,fashion,true
RWXB58325400351149,fashion,true
MMNR35438079303223,fashion,true
VWSF83523763313640,fashion,true
NBXA45437880073572,pets,true
IQLW01717948670990,pets,true
LJQW93659290647292,pets,true
DGDU97860751444299,pets,true
SAIW71796420457187,pets,true
OXCY66702354746752,pets,true
PUSW64610450964741,pets,true
WWQA56809450138899,pets,true
LNKU59123589113177,pets,true
ETWS72224304068161,fashion,true
LVJP98071195642168,pets,true
PFOU20886172780976,pets,true
CWKT99664626665737,pets,true
EPGB05203141010144,office,true
YAPW31067118103339,pets,true
UROE12597792091891,fashion,true
POCG75010089121638,fashion,true
VUGZ56640560995169,office,true
XBAG67774135796142,fashion,true
MDYX91829748657196,pets,true
VMVU14954640933178,office,true
WEYX16717909547791,pets,true
NFDF38105862080772,pets,true
APIK40928045702042,pets,true
OEZO64041645407893,pets,true
LFOH33509774658937,pets,true
MJZV38394252194510,pets,true
XHGM22207280778834,pets,true
SDRZ32915773642598,fashion,true
BGPJ73436849252240,fashion,true
ZYME03272024865554,pets,true
IIZS24959623000343,pets,true
TYRY14477132708841,pets,true
ETAT96512840627377,pets,true
FRFJ19441128794909,pets,true
HXUA28554985417273,office,true
AHPO08163375331058,pets,true
GRPW61923445162331,pets,true
SZBR58957490261698,fashion,true
XXXL59078387757010,office,true
YFED60510390441602,fashion,true
OJSM93445030313459,pets,true
HXTB24477298322194,office,true
MLJP71639924970334,pets,true
XZLO53720631887571,office,true
TCHD81821929780103,pets,true
ZEMM75066943644919,fashion,true
UFGH70501901980549,pets,true
YRQV21591742256886,pets,true
OGUC93193596950967,pets,true
UPAB42779066219763,pets,true
ZWBY81941717028321,office,true
ITQE47723998689525,pets,true
WBGC68390853731302,office,true
FKSC15459002009282,fashion,true
FALT61315887407298,office,true
QKZV40651162364556,office,true
HQMM20440506975975,office,true
QAAT24799143123236,pets,true
WMPS70771983114277,pets,true
YWML99704130592285,office,true
HQLE26006001418380,pets,true
SFUB48793796900990,fashion,true
NXKP01905714279353,fashion,true
KYTY08240688575399,pets,true
YGNK93543561123755,fashion,true
IZOM71375391625314,fashion,true
MITH39208343464692,office,true
MXHT45112033266869,office,true
AMMZ83402818237596,pets,true
TROX85157347281464,pets,true
DJGO52972769326500,pets,true
LPDU49227224293304,pets,true
NVAA89708222311687,pets,true
KUHO07223731974916,pets,true
CGIY76968398600633,fashion,true
TMZG40498073045794,pets,true
TQYU01997148527170,office,true
TQMH45016653376762,fashion,true
RSFY25536982898207,pets,true
KEZL22892326438509,office,true
PJVA16984328814259,pets,true
JWAG73287787127863,office,true
INRT71706851546807,pets,true
TNUP68024131569676,office,true
ROPN22183037112282,pets,true
MFBB46980232647107,pets,true
FJBT78024613839897,pets,true
HIIP71238740476837,pets,true
SWQG94263569507320,pets,true
KYJH14133974795871,pets,true
FTGW35349581154945,pets,true
CUTU25387015500072,pets,true
FFPA66967765374044,office,true
OGFW89599679653353,office,true
GSXH68174847286141,fashion,true
DPYT51311847973974,pets,true
WAAG81695131785246,office,true
SFIM74583536258909,pets,true
OLBS68735617184419,office,true
CSDF93504214367802,office,true
WPDN25180472545977,fashion,true
HJWI27918267313959,pets,true
NWLX72110311093473,pets,true
TDPH93396493721418,office,true
FFXR28976275137598,office,true
KMNK04598914391185,pets,true
TJDW67486382930691,fashion,true
CXLG50413844176204,office,true
RSML35656995530696,pets,true
CYLW71124916987048,fashion,true
SGOT83401406425670,fashion,true
HERO32610094631070,pets,true
SYML68220983918590,pets,true
LRNE49589818704738,office,true
MXEL84337198693952,pets,true
HTNL75568318643449,office,true
VBIH88453683318973,pets,true
RYCB64022018574522,pets,true
VNEW00626526928366,office,true
LYNI68980688339313,pets,true
NJFW62436698562028,pets,true
USCL73537886844852,fashion,true
DQPH64403144795079,pets,true
HZGF44466712324018,office,true
DZDN10591334341232,pets,true
MKWF53313197926926,pets,true
DSWF44746874014933,fashion,true
NIZN30980130951683,office,true
ZKKM11724490651735,fashion,true
UZAY86067370309811,fashion,true
FIFM89652724200911,pets,true
TWBD21242239747232,pets,true
DACJ78427796481304,fashion,true
XXBV74982796246491,pets,true
QSIZ89802832437609,office,true
DXPI76777022006777,office,true
LYOA76426889815946,pets,true
XQUN07366024062615,pets,true
VSLT86154616118865,fashion,true
NUQM31906044283935,pets,true
DIMY17345013028970,fashion,true
NANN85259894680132,pets,true
JBXI59818660417161,office,true
TLLO09062279234180,pets,true
TLMV90876584742909,pets,true
GYVI20189339845569,pets,true
FIZQ85350923339665,pets,true
KAFE70216942030447,office,true
XDGK71970194652512,fashion,true
ACTZ31635321793564,pets,true
PCDU53989573777655,pets,true
WEVP49255771087834,pets,true
HLSY11074603792713,pets,true
JMWL52191954365366,office,true
CMJW66391683128193,fashion,true
MUTM13159761347905,fashion,true
ORQS17563047742724,office,true
ZEYD73248871917669,office,true
MZDK20325805321952,fashion,true
UZYQ00319072053008,office,true
EJFP66117280733162,fashion,true
HFWB07348467949193,pets,true
BSRA38547740784105,pets,true
HKPC07590021256803,pets,true
GYUS36628037614412,pets,true
IYKJ61690941316548,pets,true
ISEM03894981529420,pets,true
SQBD73664663149043,pets,true
UXKP73079776809190,office,true
KHSP86685796210879,pets,true
ZFPV52918621815374,pets,true
GMPO06912931475922,pets,true
EEQH29369350823547,pets,true
VHKB77516393015062,fashion,true
VRSZ57852376355474,pets,true
ETON53777707243285,pets,true
VRLG78738690006326,pets,true
CLUG53953354765212,office,true
LUOA70383032663665,office,true
AXBH42532334893734,pets,true
VRFM77876659063975,pets,true
PSOA34098765652085,fashion,true
GCOI68802586532356,office,true
KVYL93629691534654,office,true
CMAS16659440971064,pets,true
ECDS39011501358211,pets,true
FXCQ09455936088876,fashion,true
SJWN07844864881752,fashion,true
ZYIS36487616130571,fashion,true
CSFG91780990844869,office,true
TYIA83135716603915,fashion,true
LKBD85605606125255,pets,true
WTAN05295906466131,pets,true
KRJI03542048145060,pets,true
VUDH78812746390026,fashion,true
NVSI93922860387362,office,true
TINP93135354082006,pets,true
DRJT85339177543256,office,true
XVXF87152880940456,fashion,true
BBOJ07046941374201,pets,true
CNVT20862710390891,office,true
AMTN44798102969176,office,true
SJAQ01765181625425,pets,true
UXPE60830361935961,pets,true
LVRB63705237930851,pets,true
HNKG12581984316499,pets,true
JKYV53649381082232,pets,true
IREG41316856316330,fashion,true
MTCU42930997019085,office,true
JUWR87523557684773,fashion,true
EJVQ27669451617203,fashion,true
CXSW74075776286245,pets,true
PVLM93950180431773,pets,true
PBUH77728499439181,pets,true
HILF45610723411858,pets,true
XGOU95989453012733,fashion,true
THIZ71822313839606,pets,true
RFPB20640375309455,pets,true
HDUJ71218871883846,pets,true
XXLG20330762314361,pets,true
HUWO10267433920218,pets,true
LBRG90233070780649,pets,true
SJAZ96617716972851,pets,true
SNBD01156946022236,pets,true
LGHC97896544326051,pets,true
RHIO37209607332093,pets,true
QAVQ56609829871721,pets,true
AIMP19000657160653,office,true
XWAN45537931632917,office,true
PAWM34959665443961,pets,true
IKYQ19028814558321,pets,true
TEDE97699488910930,pets,true
TEDG26490777219820,fashion,true
DUIB48778172821152,pets,true
ZOHE56100084593304,office,true
FYCT61230178592884,pets,true
GMMP32917083705471,pets,true
PRXK69291013021983,office,true
WUSM05832075147433,pets,true
EEJR38991318828331,office,true
UBFD01927162730242,pets,true
WUBS97425196847797,fashion,true
QWRI50685540895373,pets,true
ALJI06082178334175,fashion,true
KLEC66504971161378,pets,true
NVCN49876533717533,pets,true
HVBH75124955407454,office,true
YOPD03675450638310,pets,true
ALOE07944395735305,fashion,true
VTNZ50283413574541,pets,true
UIPE83091700139554,pets,true
TZMV75561817275807,office,true
ASAK60070675873823,pets,true
RIKK21329711070703,pets,true
VMLP52417344226740,office,true
VOPB24462074080966,fashion,true
KKFF05854028601219,office,true
QNUB09125053239838,office,true
